neighbourhood_name,frac_dc,frac_dc_res,frac_dc_com,frac_dc_ind,frac_dc_mix,frac_dc_inst,frac_dc_unknown
STRATHEARN,0.01584741449793399,0.0001329724381153935,0.0,0.0,0.015714442059818597,0.0,0.0
MACEWAN,0.015723530548375105,0.011476208120502306,0.004245632270779368,0.0,1.6901570934293576e-06,0.0,0.0
BRITANNIA YOUNGSTOWN,0.01568390667052543,0.0,1.628636551043074e-05,0.0,0.0019553179785275258,0.0,0.013712302326487473
TIPASKAN,0.01552751732549858,0.0,0.01552751732549858,0.0,0.0,0.0,0.0
LA PERLE,0.015410616019951081,9.136451741021687e-06,0.015379161030387207,0.0,1.822376484500372e-05,4.094772977848645e-06,0.0
HAYS RIDGE AREA,0.015319728423345513,6.746937755230481e-06,0.0,0.0,0.0,0.015312981485590281,0.0
BISSET,0.015140119083380825,0.0,1.411851988908617e-06,0.0,0.0,0.0070555352211452,0.008083172010246716
HADDOW,0.014612841429449625,0.0,0.014612841429449625,0.0,0.0,0.0,0.0
LENDRUM PLACE,0.014339397333393865,0.01105741984662198,0.0,0.0,0.0,0.0032819774867718855,0.0
BELMEAD,0.013993429870899065,0.006282786543584159,0.0,0.0,0.007710643327314906,0.0,0.0
ROSEDALE INDUSTRIAL,0.013675767166792944,0.0,0.0,0.013675767166792944,0.0,0.0,0.0
BELMONT,0.01354453238630346,0.013530389343651052,1.414304265240677e-05,0.0,0.0,0.0,0.0
AVONMORE,0.013231745463714858,0.013231745463714858,0.0,0.0,0.0,0.0,0.0
SOUTHEAST INDUSTRIAL,0.01320839586629098,0.0,2.287358822106849e-06,0.013201860874396742,4.2476330721304375e-06,0.0,0.0
CANOSSA,0.013182093638889933,0.007280761051871664,0.0059013325870182695,0.0,0.0,0.0,0.0
TWEDDLE PLACE,0.013146863900118854,0.013146863900118854,0.0,0.0,0.0,0.0,0.0
CASSELMAN,0.013140758026424906,0.0,0.008093055861410039,0.0,0.0,0.005047702165014868,0.0
WEIR INDUSTRIAL,0.012930179706253547,0.0,0.0,0.012930179706253547,0.0,0.0,0.0
SCHONSEE,0.012681199557851668,0.0,0.0,0.0,0.0,0.012681199557851668,0.0
KINGLET GARDENS,0.012521930514479904,0.012521930514479904,0.0,0.0,0.0,0.0,0.0
BLATCHFORD AREA,0.01250332870255971,1.5232673494839446e-06,0.0,0.0,0.004161755608799629,0.008340049826410595,0.0
PATRICIA HEIGHTS,0.012338435673128447,0.012338435673128447,0.0,0.0,0.0,0.0,0.0
NORTH GLENORA,0.011932965632153231,0.011901605811859376,3.135982029385572e-05,0.0,0.0,0.0,0.0
WINTERBURN INDUSTRIAL AREA WEST,0.011481348964967901,0.0,0.0,0.0,0.0,0.011481348964967901,0.0
PLEASANTVIEW,0.011216654241665966,0.009998211342347267,0.0012175451718159946,0.0,0.0,8.977275027056688e-07,0.0
DUNLUCE,0.011017335585522939,0.0,0.0,0.0,0.0,0.011017335585522939,0.0
CRYSTALLINA NERA EAST,0.010962728654126732,0.010962728654126732,0.0,0.0,0.0,0.0,0.0
BELLE RIVE,0.010792529883116709,0.0,0.010792529883116709,0.0,0.0,0.0,0.0
KENILWORTH,0.010531074766025094,0.0,0.0,0.0,0.0,0.010531074766025094,0.0
BALWIN,0.010432891084288801,0.0003820773322802957,0.003256488728213636,0.0,0.0,0.00679432502379487,0.0
SUMMERSIDE,0.010149339574725826,0.0,0.0075440539199591,0.0026052856547667267,0.0,0.0,0.0
KILLARNEY,0.010103037212072008,0.0,0.010093550719534482,0.0,0.0,0.0,9.486492537526144e-06
FULTON PLACE,0.009560636382437373,0.0,4.782207327027171e-05,0.0,0.009512814309167101,0.0,0.0
HIGHLANDS,0.009313942690305754,0.00599764916029914,0.0014928408461742325,0.0,0.0018234526838323815,0.0,0.0
YELLOWHEAD CORRIDOR WEST,0.009307913852185252,0.0,0.009307913852185252,0.0,0.0,0.0,0.0
PYLYPOW INDUSTRIAL,0.00921010997136748,0.0,0.009203825757678988,6.2842136884923544e-06,0.0,0.0,0.0
GREENVIEW,0.00902962591299535,0.0014770498359426103,0.00755257607705274,0.0,0.0,0.0,0.0
MILL CREEK RAVINE SOUTH,0.008980036377101512,0.008980036377101512,0.0,0.0,0.0,0.0,0.0
ALBERTA AVENUE,0.008890906325263655,0.006738080928445668,0.0017565837576430196,0.0,0.00039624163917496657,0.0,0.0
GROVENOR,0.00878643790382276,0.007346857039124742,0.001412149315563919,0.0,2.7431549134101542e-05,0.0,0.0
PARKALLEN,0.00876266600813856,0.0,0.007169879373895681,0.0,0.00159278663424288,0.0,0.0
WEINLOS,0.008174038912398327,0.004513835891828558,3.8222809378789686e-05,0.0,0.003618788517506955,2.8438400472475175e-07,2.9073096792994335e-06
HAWKS RIDGE,0.008044770350163433,0.0,0.0,0.0,0.008044770350163433,0.0,0.0
KILKENNY,0.008033786674082891,0.008032775151193609,1.011522889283156e-06,0.0,0.0,0.0,0.0
HOLLICK-KENYON,0.008023352363151725,0.0,0.008007004582542126,0.0,0.0,1.634778060959882e-05,0.0
ELMWOOD PARK,0.007891400859469926,0.0,0.00789138939850428,0.0,0.0,1.146096564502947e-08,0.0
FOREST HEIGHTS,0.007677542475792916,0.0,0.0019149557728237166,0.0,0.0014818904158874,0.0042806962870818,0.0
CALLINGWOOD NORTH,0.007615257789527495,0.0,0.007615257789527495,0.0,0.0,0.0,0.0
MCCONACHIE,0.0074644208005146696,0.0,0.0074644208005146696,0.0,0.0,0.0,0.0
GLENRIDDING HEIGHTS,0.007300107813386532,0.006719345061875105,0.0,0.0,0.0005807627515114274,0.0,0.0
BELGRAVIA,0.007261514476042426,0.007249214497279874,0.0,0.0,1.2299978762552275e-05,0.0,0.0
LEGER,0.006186996023595824,0.006186996023595824,0.0,0.0,0.0,0.0,0.0
ORMSBY PLACE,0.006065236697161326,0.00019909799480669706,0.005866138702354629,0.0,0.0,0.0,0.0
MAYLIEWAN,0.005937239703996078,0.0,0.005937239703996078,0.0,0.0,0.0,0.0
RUTHERFORD,0.005751125962542273,0.005751125962542273,0.0,0.0,0.0,0.0,0.0
CAVANAGH,0.005683324580894673,7.86531646877e-06,0.0,0.0,0.005669449772819326,6.009491606576591e-06,0.0
