slug,agreement_no,url,use,confidence,note
dc2-1048,1048,https://zoningbylaw.edmonton.ca/dc2-1048,com,m,highway commercial+retail+industrial business
dc2-1049,1049,https://zoningbylaw.edmonton.ca/dc2-1049,ind,l,private education + future industrial businesses
dc2-1050,1050,https://zoningbylaw.edmonton.ca/dc2-1050,mix,m,medium density mixed use
dc2-1051,1051,https://zoningbylaw.edmonton.ca/dc2-1051,inst,m,seniors residence+extended medical+institutional
dc2-1053,1053,https://zoningbylaw.edmonton.ca/dc2-1053,res,h,Row Housing
dc2-1054,1054,https://zoningbylaw.edmonton.ca/dc2-1054,res,h,high density residential
dc2-1055,1055,https://zoningbylaw.edmonton.ca/dc2-1055,res,h,Row Housing infill
dc2-1056,1056,https://zoningbylaw.edmonton.ca/dc2-1056,inst,m,Derrick Golf and Winter Club recreation
dc2-1057,1057,https://zoningbylaw.edmonton.ca/dc2-1057,res,m,low intensity residential
dc2-1058,1058,https://zoningbylaw.edmonton.ca/dc2-1058,mix,m,Bonnie Doon town centre mixed-use
dc2-1059,1059,https://zoningbylaw.edmonton.ca/dc2-1059,mix,m,mixed use commercial/residential
dc2-106,106,https://zoningbylaw.edmonton.ca/dc2-106,com,m,convenience commercial+personal service
dc2-1060,1060,https://zoningbylaw.edmonton.ca/dc2-1060,mix,m,arts/entertainment/education/ltd residential/district energy
dc2-1061,1061,https://zoningbylaw.edmonton.ca/dc2-1061,com,h,vehicle-oriented commercial
dc2-1062,1062,https://zoningbylaw.edmonton.ca/dc2-1062,ind,m,general industrial + conversion to commercial office
dc2-1063,1063,https://zoningbylaw.edmonton.ca/dc2-1063,res,l,single detached house + optional small health service (QA)
dc2-1064,1064,https://zoningbylaw.edmonton.ca/dc2-1064,res,m,two high rise residential + non-residential podium
dc2-1066,1066,https://zoningbylaw.edmonton.ca/dc2-1066,com,m,retail/general commercial/office
dc2-1067,1067,https://zoningbylaw.edmonton.ca/dc2-1067,res,m,two high rise residential + complementary podium
dc2-1068,1068,https://zoningbylaw.edmonton.ca/dc2-1068,mix,m,two residential towers + street commercial
dc2-1069,1069,https://zoningbylaw.edmonton.ca/dc2-1069,mix,m,podium+tower ground-oriented commercial
dc2-107,107,https://zoningbylaw.edmonton.ca/dc2-107,res,h,single detached dwellings
dc2-1070,1070,https://zoningbylaw.edmonton.ca/dc2-1070,ind,m,mixed commercial and industrial
dc2-1074,1074,https://zoningbylaw.edmonton.ca/dc2-1074,ind,h,Edmonton Waste Management Centre
dc2-1075,1075,https://zoningbylaw.edmonton.ca/dc2-1075,com,m,general commercial + low intensity office
dc2-1076,1076,https://zoningbylaw.edmonton.ca/dc2-1076,com,m,range of commercial amenities
dc2-1078,1078,https://zoningbylaw.edmonton.ca/dc2-1078,ind,m,industrial + limited commercial
dc2-1079,1079,https://zoningbylaw.edmonton.ca/dc2-1079,com,m,commercial development
dc2-1081,1081,https://zoningbylaw.edmonton.ca/dc2-1081,mix,m,existing mixed-use building Jasper Ave
dc2-1082,1082,https://zoningbylaw.edmonton.ca/dc2-1082,mix,m,Hotel Macdonald mixed use residential+commercial
dc2-1083,1083,https://zoningbylaw.edmonton.ca/dc2-1083,mix,m,mixed use high rise
dc2-1084,1084,https://zoningbylaw.edmonton.ca/dc2-1084,mix,m,commercial + medium density residential
dc2-1085,1085,https://zoningbylaw.edmonton.ca/dc2-1085,inst,l,religious assembly + medium-density residential
dc2-1086,1086,https://zoningbylaw.edmonton.ca/dc2-1086,com,h,medium intensity commercial office
dc2-1087,1087,https://zoningbylaw.edmonton.ca/dc2-1087,com,m,low intensity commercial office/retail/service
dc2-1090,1090,https://zoningbylaw.edmonton.ca/dc2-1090,mix,m,mixed use podium+tower Jasper Ave
dc2-1092,1092,https://zoningbylaw.edmonton.ca/dc2-1092,res,m,seniors-oriented low rise apartments
dc2-1095,1095,https://zoningbylaw.edmonton.ca/dc2-1095,res,h,residential on surplus school site
dc2-1096,1096,https://zoningbylaw.edmonton.ca/dc2-1096,com,m,general business+commercial+ltd business industrial
dc2-1097,1097,https://zoningbylaw.edmonton.ca/dc2-1097,res,h,single detached residential
dc2-11,11,https://zoningbylaw.edmonton.ca/dc2-11,com,m,Site Specific Commercial District
dc2-1100,1100,https://zoningbylaw.edmonton.ca/dc2-1100,mix,m,mixed use node LRT + ground floor commercial
dc2-1102,1102,https://zoningbylaw.edmonton.ca/dc2-1102,ind,m,General Industrial + Commercial
dc2-1103,1103,https://zoningbylaw.edmonton.ca/dc2-1103,res,h,Multi-unit Housing shallow lots
dc2-1104,1104,https://zoningbylaw.edmonton.ca/dc2-1104,mix,m,small scale commercial + residential
dc2-1105,1105,https://zoningbylaw.edmonton.ca/dc2-1105,res,h,Row Housing
dc2-1106,1106,https://zoningbylaw.edmonton.ca/dc2-1106,mix,m,single detached + commercial component
dc2-1107,1107,https://zoningbylaw.edmonton.ca/dc2-1107,com,h,highway/general commercial
dc2-1108,1108,https://zoningbylaw.edmonton.ca/dc2-1108,com,h,highway/general commercial
dc2-1110,1110,https://zoningbylaw.edmonton.ca/dc2-1110,com,h,highway/general commercial
dc2-1112,1112,https://zoningbylaw.edmonton.ca/dc2-1112,com,h,highway/general commercial
dc2-1113,1113,https://zoningbylaw.edmonton.ca/dc2-1113,com,m,commercial/light industrial/automotive/service
dc2-1114,1114,https://zoningbylaw.edmonton.ca/dc2-1114,com,l,temporary event parking
dc2-1116,1116,https://zoningbylaw.edmonton.ca/dc2-1116,res,m,mixed-use primarily residential + ltd commercial
dc2-1118,1118,https://zoningbylaw.edmonton.ca/dc2-1118,com,m,range of commercial
dc2-1119,1119,https://zoningbylaw.edmonton.ca/dc2-1119,mix,m,commercial + medium density residential
dc2-112,112,https://zoningbylaw.edmonton.ca/dc2-112,com,m,"industrial business+commercial, auto dealership"
dc2-1120,1120,https://zoningbylaw.edmonton.ca/dc2-1120,res,h,multi-residential tiny home community
dc2-1121,1121,https://zoningbylaw.edmonton.ca/dc2-1121,res,h,multi-unit mid-rise
dc2-1122,1122,https://zoningbylaw.edmonton.ca/dc2-1122,res,m,low-rise residential + neighbourhood commercial
dc2-1123,1123,https://zoningbylaw.edmonton.ca/dc2-1123,res,h,Row Housing
dc2-1125,1125,https://zoningbylaw.edmonton.ca/dc2-1125,mix,m,Multi-Unit + ground floor commercial
dc2-1127,1127,https://zoningbylaw.edmonton.ca/dc2-1127,res,h,mid rise high density residential
dc2-1128,1128,https://zoningbylaw.edmonton.ca/dc2-1128,com,m,low-intensity commercial
dc2-1129,1129,https://zoningbylaw.edmonton.ca/dc2-1129,com,m,low-intensity commercial
dc2-113,113,https://zoningbylaw.edmonton.ca/dc2-113,com,m,gas bar + convenience commercial
dc2-1130,1130,https://zoningbylaw.edmonton.ca/dc2-1130,com,m,convenience commercial + business
dc2-1131,1131,https://zoningbylaw.edmonton.ca/dc2-1131,inst,m,religious assembly + private education
dc2-1132,1132,https://zoningbylaw.edmonton.ca/dc2-1132,com,m,variety of commercial
dc2-1136,1136,https://zoningbylaw.edmonton.ca/dc2-1136,com,m,neighborhood convenience + personal service
dc2-1137,1137,https://zoningbylaw.edmonton.ca/dc2-1137,res,h,large lot single detached
dc2-1138,1138,https://zoningbylaw.edmonton.ca/dc2-1138,res,m,Charles Camsell Hospital redevelop to Multi-unit Housing
dc2-1139,1139,https://zoningbylaw.edmonton.ca/dc2-1139,com,m,non-residential Calgary Trail corridor
dc2-1140,1140,https://zoningbylaw.edmonton.ca/dc2-1140,com,m,low-intensity non-residential
dc2-1142,1142,https://zoningbylaw.edmonton.ca/dc2-1142,res,m,mid-rise residential + ltd neighbourhood commercial
dc2-1143,1143,https://zoningbylaw.edmonton.ca/dc2-1143,com,m,retail + ltd general commercial
dc2-1145,1145,https://zoningbylaw.edmonton.ca/dc2-1145,com,m,convenience commercial
dc2-1146,1146,https://zoningbylaw.edmonton.ca/dc2-1146,com,h,shopping centre
dc2-1147,1147,https://zoningbylaw.edmonton.ca/dc2-1147,res,h,Single Detached Multi-unit Project
dc2-1148,1148,https://zoningbylaw.edmonton.ca/dc2-1148,com,m,convenience commercial
dc2-1149,1149,https://zoningbylaw.edmonton.ca/dc2-1149,com,m,convenience commercial + future redevelopment
dc2-115,115,https://zoningbylaw.edmonton.ca/dc2-115,com,m,low intensity commercial/office/service
dc2-1150-area-a,1150,https://zoningbylaw.edmonton.ca/dc2-1150-area-a,com,m,community commercial
dc2-1150-area-b,1150,https://zoningbylaw.edmonton.ca/dc2-1150-area-b,com,m,community commercial
dc2-1151,1151,https://zoningbylaw.edmonton.ca/dc2-1151,inst,m,publicly owned health care facility
dc2-1152,1152,https://zoningbylaw.edmonton.ca/dc2-1152,res,h,mid-rise apartment
dc2-1154,1154,https://zoningbylaw.edmonton.ca/dc2-1154,res,h,mid-rise residential
dc2-1155-area-a,1155,https://zoningbylaw.edmonton.ca/dc2-1155-area-a,com,m,retail/general commercial/office
dc2-1155-area-b,1155,https://zoningbylaw.edmonton.ca/dc2-1155-area-b,com,m,retail/general commercial/office
dc2-1158,1158,https://zoningbylaw.edmonton.ca/dc2-1158,res,h,residential attached dwellings
dc2-1159,1159,https://zoningbylaw.edmonton.ca/dc2-1159,res,m,small scale residential + ltd commercial
dc2-116,116,https://zoningbylaw.edmonton.ca/dc2-116,res,h,medium density single storey residential
dc2-1160,1160,https://zoningbylaw.edmonton.ca/dc2-1160,res,h,residential high-rise
dc2-1161,1161,https://zoningbylaw.edmonton.ca/dc2-1161,res,h,Multi-unit row housing
dc2-1164,1164,https://zoningbylaw.edmonton.ca/dc2-1164,res,h,Multi Unit Row Housing
dc2-1165,1165,https://zoningbylaw.edmonton.ca/dc2-1165,mix,m,shopping centre commercial + medium density residential
dc2-1166,1166,https://zoningbylaw.edmonton.ca/dc2-1166,res,h,medium-rise residential
dc2-1167,1167,https://zoningbylaw.edmonton.ca/dc2-1167,res,h,multi-unit residential
dc2-1168,1168,https://zoningbylaw.edmonton.ca/dc2-1168,com,m,range of commercial
dc2-1169,1169,https://zoningbylaw.edmonton.ca/dc2-1169,mix,m,six storey mixed use residential+commercial
dc2-1171,1171,https://zoningbylaw.edmonton.ca/dc2-1171,mix,m,medical+commercial+residential node
dc2-1174,1174,https://zoningbylaw.edmonton.ca/dc2-1174,res,h,small lot Single Detached
dc2-1176,1176,https://zoningbylaw.edmonton.ca/dc2-1176,mix,m,low rise Multi-unit + institutional + commercial
dc2-1177,1177,https://zoningbylaw.edmonton.ca/dc2-1177,mix,m,mixed-use commercial+residential
dc2-1179,1179,https://zoningbylaw.edmonton.ca/dc2-1179,res,h,low-rise residential
dc2-118,118,https://zoningbylaw.edmonton.ca/dc2-118,com,m,low intensity commercial
dc2-1180,1180,https://zoningbylaw.edmonton.ca/dc2-1180,mix,m,residential/commercial mixed-use options
dc2-1181,1181,https://zoningbylaw.edmonton.ca/dc2-1181,res,h,low-medium density residential
dc2-1182,1182,https://zoningbylaw.edmonton.ca/dc2-1182,com,m,community level commercial
dc2-1184,1184,https://zoningbylaw.edmonton.ca/dc2-1184,res,m,mid-rise residential + ltd commercial
dc2-1185,1185,https://zoningbylaw.edmonton.ca/dc2-1185,res,h,high rise residential
dc2-1186,1186,https://zoningbylaw.edmonton.ca/dc2-1186,res,m,Clifton Place mixed use primarily residential
dc2-1188,1188,https://zoningbylaw.edmonton.ca/dc2-1188,mix,m,mid-rise residential w/ commercial + low rise commercial
dc2-1189,1189,https://zoningbylaw.edmonton.ca/dc2-1189,com,m,retail commercial + office
dc2-1190,1190,https://zoningbylaw.edmonton.ca/dc2-1190,com,h,large general retail store
dc2-1191,1191,https://zoningbylaw.edmonton.ca/dc2-1191,com,h,highway/general commercial
dc2-1192,1192,https://zoningbylaw.edmonton.ca/dc2-1192,com,h,highway/general commercial
dc2-1194,1194,https://zoningbylaw.edmonton.ca/dc2-1194,res,h,two row housing buildings
dc2-1195,1195,https://zoningbylaw.edmonton.ca/dc2-1195,unknown,l,no purpose text
dc2-1196,1196,https://zoningbylaw.edmonton.ca/dc2-1196,res,h,low rise Multi-unit Housing
dc2-1198,1198,https://zoningbylaw.edmonton.ca/dc2-1198,mix,m,West Edmonton Mall diverse uses
dc2-12,12,https://zoningbylaw.edmonton.ca/dc2-12,com,m,commercial development
dc2-1200,1200,https://zoningbylaw.edmonton.ca/dc2-1200,com,m,commercial + extended medical treatment
dc2-1201,1201,https://zoningbylaw.edmonton.ca/dc2-1201,com,m,commercial serving community
dc2-1202,1202,https://zoningbylaw.edmonton.ca/dc2-1202,res,h,ground oriented Multi-unit Row Housing
dc2-1204,1204,https://zoningbylaw.edmonton.ca/dc2-1204,ind,m,industrial businesses + ltd non-industrial
dc2-1205,1205,https://zoningbylaw.edmonton.ca/dc2-1205,res,h,Multi-unit Row Housing
dc2-1206,1206,https://zoningbylaw.edmonton.ca/dc2-1206,res,h,single detached residential
dc2-1207,1207,https://zoningbylaw.edmonton.ca/dc2-1207,mix,m,commercial + mixed-use residential option
dc2-1208,1208,https://zoningbylaw.edmonton.ca/dc2-1208,com,h,auto-oriented + shopping centre
dc2-1209,1209,https://zoningbylaw.edmonton.ca/dc2-1209,mix,m,high rise + ground dwellings + street commercial
dc2-1210,1210,https://zoningbylaw.edmonton.ca/dc2-1210,ind,m,industrial businesses + ltd non-industrial
dc2-1211,1211,https://zoningbylaw.edmonton.ca/dc2-1211,com,m,low intensity commercial/office/service + ltd residential-related
dc2-1212,1212,https://zoningbylaw.edmonton.ca/dc2-1212,res,h,Multi-unit row housing
dc2-1213,1213,https://zoningbylaw.edmonton.ca/dc2-1213,com,m,medical office+treatment facility+commercial
dc2-1215,1215,https://zoningbylaw.edmonton.ca/dc2-1215,res,h,small scale housing
dc2-1216,1216,https://zoningbylaw.edmonton.ca/dc2-1216,res,h,small scale housing
dc2-1217,1217,https://zoningbylaw.edmonton.ca/dc2-1217,res,h,6-storey multi-family residential
dc2-1218,1218,https://zoningbylaw.edmonton.ca/dc2-1218,com,m,"education/commercial/office/light industrial, no residential (QA)"
dc2-1219,1219,https://zoningbylaw.edmonton.ca/dc2-1219,res,m,medium density residential + small commercial
dc2-122,122,https://zoningbylaw.edmonton.ca/dc2-122,inst,m,religious assembly + related uses
dc2-1220,1220,https://zoningbylaw.edmonton.ca/dc2-1220,mix,m,residential Multi-unit + main floor commercial + standalone commercial
dc2-1222,1222,https://zoningbylaw.edmonton.ca/dc2-1222,res,h,low/medium rise Multi-unit
dc2-1223,1223,https://zoningbylaw.edmonton.ca/dc2-1223,res,h,Single Detached/Semi/Duplex Multi-unit Project
dc2-1224,1224,https://zoningbylaw.edmonton.ca/dc2-1224,res,h,Single/Semi/Duplex
dc2-1226,1226,https://zoningbylaw.edmonton.ca/dc2-1226,mix,m,multi-unit housing + standalone commercial
dc2-1227,1227,https://zoningbylaw.edmonton.ca/dc2-1227,com,m,low intensity commercial/office/service
dc2-1229,1229,https://zoningbylaw.edmonton.ca/dc2-1229,res,m,high density residential apartment
dc2-123,123,https://zoningbylaw.edmonton.ca/dc2-123,com,m,convenience commercial + ltd general business
dc2-1230,1230,https://zoningbylaw.edmonton.ca/dc2-1230,res,m,medium-rise high density residential + ltd commercial
dc2-1231,1231,https://zoningbylaw.edmonton.ca/dc2-1231,res,h,Multi-unit Row Housing
dc2-1232,1232,https://zoningbylaw.edmonton.ca/dc2-1232,res,h,medium-rise ground-oriented units
dc2-1233,1233,https://zoningbylaw.edmonton.ca/dc2-1233,inst,m,seniors: residential/institutional/assisted living/medical
dc2-1234,1234,https://zoningbylaw.edmonton.ca/dc2-1234,ind,m,industrial businesses + Public Education
dc2-1235,1235,https://zoningbylaw.edmonton.ca/dc2-1235,res,h,small scale infill housing
dc2-1236,1236,https://zoningbylaw.edmonton.ca/dc2-1236,res,h,mid-rise residential
dc2-1237,1237,https://zoningbylaw.edmonton.ca/dc2-1237,inst,m,live theatre/cultural/railway exhibit Bus Barns
dc2-1238,1238,https://zoningbylaw.edmonton.ca/dc2-1238,res,h,medium density Multi-Unit
dc2-1240,1240,https://zoningbylaw.edmonton.ca/dc2-1240,com,m,commercial shopping centre + self-storage/office/entertainment
dc2-1241,1241,https://zoningbylaw.edmonton.ca/dc2-1241,mix,m,high density mixed-use commercial + high rise residential
dc2-1242,1242,https://zoningbylaw.edmonton.ca/dc2-1242,res,m,residential + ltd non-residential ground
dc2-1243,1243,https://zoningbylaw.edmonton.ca/dc2-1243,com,m,"commercial/office/health/rec/educational, no residential (QA)"
dc2-1244,1244,https://zoningbylaw.edmonton.ca/dc2-1244,res,h,medium density Multi-Unit
dc2-1245,1245,https://zoningbylaw.edmonton.ca/dc2-1245,ind,m,industrial businesses + Public Education
dc2-1247,1247,https://zoningbylaw.edmonton.ca/dc2-1247,ind,m,veterinary hospital + apt hotels + medium industrial
dc2-1248,1248,https://zoningbylaw.edmonton.ca/dc2-1248,com,m,low intensity commercial/office/service
dc2-128,128,https://zoningbylaw.edmonton.ca/dc2-128,com,l,Non-accessory Parking additional to RA7
dc2-129,129,https://zoningbylaw.edmonton.ca/dc2-129,mix,m,high rise residential/commercial
dc2-132,132,https://zoningbylaw.edmonton.ca/dc2-132,com,m,ltd commercial serving local residents
dc2-133,133,https://zoningbylaw.edmonton.ca/dc2-133,com,m,convenience commercial + ltd general business
dc2-135,135,https://zoningbylaw.edmonton.ca/dc2-135,com,m,convenience commercial + personal service
dc2-136,136,https://zoningbylaw.edmonton.ca/dc2-136,com,m,convenience commercial + personal service
dc2-14,14,https://zoningbylaw.edmonton.ca/dc2-14,res,h,multiple family housing + apartments
dc2-140,140,https://zoningbylaw.edmonton.ca/dc2-140,com,h,grocery/drug store + highway commercial
dc2-142,142,https://zoningbylaw.edmonton.ca/dc2-142,inst,m,Bissell Centre outreach ministry social service
dc2-144,144,https://zoningbylaw.edmonton.ca/dc2-144,inst,m,low intensity institutional + professional office
dc2-147,147,https://zoningbylaw.edmonton.ca/dc2-147,inst,l,religious assembly + seniors apartment
dc2-148,148,https://zoningbylaw.edmonton.ca/dc2-148,res,h,low-medium density residential row housing
dc2-150,150,https://zoningbylaw.edmonton.ca/dc2-150,com,m,gas bar + convenience store
dc2-151,151,https://zoningbylaw.edmonton.ca/dc2-151,res,h,low-medium density residential single/semi/row
dc2-154,154,https://zoningbylaw.edmonton.ca/dc2-154,res,h,semi-detached + single family housing
dc2-162,162,https://zoningbylaw.edmonton.ca/dc2-162,inst,m,religious assembly + private education
dc2-163,163,https://zoningbylaw.edmonton.ca/dc2-163,com,m,general business-office
dc2-165,165,https://zoningbylaw.edmonton.ca/dc2-165,com,m,highway commercial
dc2-166,166,https://zoningbylaw.edmonton.ca/dc2-166,com,m,parkade for automotive dealership
dc2-170,170,https://zoningbylaw.edmonton.ca/dc2-170,inst,l,day care support business + RF3 residential
dc2-171,171,https://zoningbylaw.edmonton.ca/dc2-171,com,m,automotive repair facility
dc2-173,173,https://zoningbylaw.edmonton.ca/dc2-173,inst,h,156 bed nursing home
dc2-175,175,https://zoningbylaw.edmonton.ca/dc2-175,res,h,low-medium density residential semi/row
dc2-176,176,https://zoningbylaw.edmonton.ca/dc2-176,mix,m,single detached conversion to offices/retail
dc2-177,177,https://zoningbylaw.edmonton.ca/dc2-177,ind,m,truck/mobile home sales + flea market + industrial business
dc2-17a,17,https://zoningbylaw.edmonton.ca/dc2-17a,res,h,semi-detached/duplex/row housing
dc2-17b,17,https://zoningbylaw.edmonton.ca/dc2-17b,res,h,medium rise apartment
dc2-180,180,https://zoningbylaw.edmonton.ca/dc2-180,ind,m,mixed industrial business + hotel
dc2-181,181,https://zoningbylaw.edmonton.ca/dc2-181,com,m,specified commercial + general business
dc2-183,183,https://zoningbylaw.edmonton.ca/dc2-183,com,m,convenience commercial + personal service
dc2-184-area-2,184,https://zoningbylaw.edmonton.ca/dc2-184-area-2,res,h,low-medium density residential semi/row
dc2-186,186,https://zoningbylaw.edmonton.ca/dc2-186,res,h,16 town homes
dc2-188,188,https://zoningbylaw.edmonton.ca/dc2-188,com,m,low intensity retail/commercial/office/service
dc2-189,189,https://zoningbylaw.edmonton.ca/dc2-189,com,m,retail/general commercial/office
dc2-19,19,https://zoningbylaw.edmonton.ca/dc2-19,com,h,shopping centre
dc2-190,190,https://zoningbylaw.edmonton.ca/dc2-190,com,m,general business + personal service
dc2-196,196,https://zoningbylaw.edmonton.ca/dc2-196,com,m,convenience commercial/personal service/religious assembly
dc2-197,197,https://zoningbylaw.edmonton.ca/dc2-197,mix,m,single detached conversion to retail/personal service
dc2-198,198,https://zoningbylaw.edmonton.ca/dc2-198,res,h,low-medium density residential semi/row
dc2-20,20,https://zoningbylaw.edmonton.ca/dc2-20,mix,m,high rise apartment + variety commercial
dc2-204,204,https://zoningbylaw.edmonton.ca/dc2-204,res,h,semi-detached + single family
dc2-205,205,https://zoningbylaw.edmonton.ca/dc2-205,com,m,retail business + highway commercial
dc2-206,206,https://zoningbylaw.edmonton.ca/dc2-206,res,h,low-medium density multiple family semi/row/stacked
dc2-21,21,https://zoningbylaw.edmonton.ca/dc2-21,res,h,multiple family housing row/stacked/apartments
dc2-212,212,https://zoningbylaw.edmonton.ca/dc2-212,res,h,low-medium density residential row housing
dc2-214,214,https://zoningbylaw.edmonton.ca/dc2-214,res,m,low rise apartment + church parking
dc2-216,216,https://zoningbylaw.edmonton.ca/dc2-216,inst,m,Urban Services + Youth Emergency Shelter
dc2-217,217,https://zoningbylaw.edmonton.ca/dc2-217,mix,m,speciality retail/personal service + single detached
dc2-218,218,https://zoningbylaw.edmonton.ca/dc2-218,res,h,low-medium density residential semi/row
dc2-221,221,https://zoningbylaw.edmonton.ca/dc2-221,inst,l,accessory parking for religious assembly/education
dc2-223,223,https://zoningbylaw.edmonton.ca/dc2-223,res,l,child care centre + row housing
dc2-224,224,https://zoningbylaw.edmonton.ca/dc2-224,res,h,Townhouses/Row/High Rise Apartment
dc2-226,226,https://zoningbylaw.edmonton.ca/dc2-226,mix,m,seniors apartment + main floor offices/services
dc2-229,229,https://zoningbylaw.edmonton.ca/dc2-229,res,m,high rise apartment + ltd ancillary
dc2-230-area,230,https://zoningbylaw.edmonton.ca/dc2-230-area,com,m,convenience commercial + personal service
dc2-230-area-b,230,https://zoningbylaw.edmonton.ca/dc2-230-area-b,res,h,low-medium density residential semi/row
dc2-231,231,https://zoningbylaw.edmonton.ca/dc2-231,res,h,medium density residential semi/row
dc2-232,232,https://zoningbylaw.edmonton.ca/dc2-232,com,m,small retail + general commercial
dc2-234,234,https://zoningbylaw.edmonton.ca/dc2-234,inst,h,religious assembly
dc2-236,236,https://zoningbylaw.edmonton.ca/dc2-236,res,h,semi-detached housing
dc2-238,238,https://zoningbylaw.edmonton.ca/dc2-238,res,h,medium rise apartment
dc2-240,240,https://zoningbylaw.edmonton.ca/dc2-240,com,m,small retail + general commercial
dc2-241,241,https://zoningbylaw.edmonton.ca/dc2-241,com,m,convenience commercial + personal service
dc2-242,242,https://zoningbylaw.edmonton.ca/dc2-242,mix,m,medium density multiple family + office conversion
dc2-244,244,https://zoningbylaw.edmonton.ca/dc2-244,res,m,high rise apartment + ltd ancillary
dc2-250,250,https://zoningbylaw.edmonton.ca/dc2-250,com,l,medium intensity office + conversion to religious assembly
dc2-256-area-1,256,https://zoningbylaw.edmonton.ca/dc2-256-area-1,com,l,surface parking for Ritchie Mill/park
dc2-256-area-2,256,https://zoningbylaw.edmonton.ca/dc2-256-area-2,com,l,public parking Bus Barns
dc2-256-area-3,256,https://zoningbylaw.edmonton.ca/dc2-256-area-3,inst,l,Bus Barns marketing + cultural uses
dc2-259,259,https://zoningbylaw.edmonton.ca/dc2-259,com,m,convenience commercial + personal service
dc2-261,261,https://zoningbylaw.edmonton.ca/dc2-261,res,m,ltd residential + religious assembly transition
dc2-263,263,https://zoningbylaw.edmonton.ca/dc2-263,mix,m,apartment/stacked/linked + ltd commercial
dc2-269,269,https://zoningbylaw.edmonton.ca/dc2-269,ind,m,industrial business + spectator entertainment
dc2-270,270,https://zoningbylaw.edmonton.ca/dc2-270,com,m,ltd commercial CSC
dc2-272,272,https://zoningbylaw.edmonton.ca/dc2-272,ind,h,waste management facility
dc2-273,273,https://zoningbylaw.edmonton.ca/dc2-273,res,m,low rise apartment + health services
dc2-277,277,https://zoningbylaw.edmonton.ca/dc2-277,res,m,low-medium density residential semi/row + religious assembly
dc2-279,279,https://zoningbylaw.edmonton.ca/dc2-279,res,m,low rise apartment + health services
dc2-28,28,https://zoningbylaw.edmonton.ca/dc2-28,com,m,Site Specific Commercial Calgary Trail
dc2-281,281,https://zoningbylaw.edmonton.ca/dc2-281,com,m,commercial+office+ltd residential
dc2-283-area-b,283,https://zoningbylaw.edmonton.ca/dc2-283-area-b,res,h,hi-rise residential
dc2-284,284,https://zoningbylaw.edmonton.ca/dc2-284,res,h,Low Rise Apartment
dc2-287,287,https://zoningbylaw.edmonton.ca/dc2-287,res,h,low rise apartment
dc2-288,288,https://zoningbylaw.edmonton.ca/dc2-288,res,h,low-medium density residential row housing
dc2-289,289,https://zoningbylaw.edmonton.ca/dc2-289,com,m,medical office park + ltd commercial + shelter
dc2-290,290,https://zoningbylaw.edmonton.ca/dc2-290,res,m,ltd residential + related uses
dc2-291,291,https://zoningbylaw.edmonton.ca/dc2-291,com,m,small retail + general commercial
dc2-292,292,https://zoningbylaw.edmonton.ca/dc2-292,inst,m,Edmonton Police district station
dc2-293,293,https://zoningbylaw.edmonton.ca/dc2-293,res,m,ltd residential + related
dc2-295,295,https://zoningbylaw.edmonton.ca/dc2-295,com,m,funeral + cremation/interment services
dc2-299,299,https://zoningbylaw.edmonton.ca/dc2-299,com,m,convenience commercial + automotive service
dc2-305-area-c,305,https://zoningbylaw.edmonton.ca/dc2-305-area-c,res,h,low-medium density multiple family
dc2-306,306,https://zoningbylaw.edmonton.ca/dc2-306,res,h,medium density residential row + low rise apartments
dc2-309,309,https://zoningbylaw.edmonton.ca/dc2-309,com,m,broad range commercial and office
dc2-31,31,https://zoningbylaw.edmonton.ca/dc2-31,res,h,four dwelling units existing building
dc2-310,310,https://zoningbylaw.edmonton.ca/dc2-310,inst,m,EMS ambulance station
dc2-312-area,312,https://zoningbylaw.edmonton.ca/dc2-312-area,res,h,low density multiple family residential
dc2-312-area-b,312,https://zoningbylaw.edmonton.ca/dc2-312-area-b,com,m,convenience commercial/personal service/religious assembly
dc2-315-area-b-east-side,315,https://zoningbylaw.edmonton.ca/dc2-315-area-b-east-side,res,h,low-medium density residential semi/row
dc2-315-area-west-side,315,https://zoningbylaw.edmonton.ca/dc2-315-area-west-side,res,h,medium density residential semi/row
dc2-316,316,https://zoningbylaw.edmonton.ca/dc2-316,ind,m,industrial business + Animal Hospital/Shelter
dc2-319,319,https://zoningbylaw.edmonton.ca/dc2-319,com,m,commercial + automotive dealership
dc2-320,320,https://zoningbylaw.edmonton.ca/dc2-320,mix,m,low density residential + neighbourhood commercial
dc2-323,323,https://zoningbylaw.edmonton.ca/dc2-323,res,m,ltd residential + related
dc2-324,324,https://zoningbylaw.edmonton.ca/dc2-324,com,m,retail commercial/amusement/office
dc2-325,325,https://zoningbylaw.edmonton.ca/dc2-325,com,m,businesses large sites 118 Avenue
dc2-326,326,https://zoningbylaw.edmonton.ca/dc2-326,com,m,neighbourhood convenience commercial + auto sales
dc2-327,327,https://zoningbylaw.edmonton.ca/dc2-327,res,h,low rise walkup apartment
dc2-328,328,https://zoningbylaw.edmonton.ca/dc2-328,res,h,medium rise apartment
dc2-329,329,https://zoningbylaw.edmonton.ca/dc2-329,res,h,Medium Density Stacked Townhouse
dc2-332,332,https://zoningbylaw.edmonton.ca/dc2-332,com,m,retail + highway commercial
dc2-334,334,https://zoningbylaw.edmonton.ca/dc2-334,inst,l,existing building commercial/community/educational/recreational/cultural
